iter	RMSE
0	0.8906885538
1	0.8605888326
2	0.8319524441
3	0.8047360333
4	0.7785396663
5	0.7544606918
6	0.7315037123
7	0.7098476849
8	0.6891237968
9	0.6697609726
10	0.6526249188
11	0.634633086
12	0.6211261493
13	0.6073549333
14	0.5954662425
15	0.5824251765
16	0.5712276089
17	0.5595047506
18	0.5482408866
19	0.53710047
20	0.5269670589
21	0.5183053294
22	0.5101113614
23	0.5016091687
24	0.4943704409
25	0.4865501939
26	0.4801771883
27	0.4733440598
28	0.4671495481
29	0.4616101197
30	0.4562472113
31	0.4507820216
32	0.4460673984
33	0.4423439374
34	0.4379553849
35	0.4345855527
36	0.4308587969
37	0.4278494929
38	0.4249174226
39	0.4221517375
40	0.4192604172
41	0.4168350258
42	0.413781544
43	0.4113415706
44	0.4096278273
45	0.4077996141
46	0.4056335682
47	0.4042260558
48	0.4028407116
49	0.4017212072
50	0.4001782931
51	0.3982441249
52	0.3968956229
53	0.3960905567
54	0.3951120496
55	0.3938670351
56	0.3926448075
57	0.3913074646
58	0.3900093363
59	0.3894753074
60	0.3887055324
61	0.3875169162
62	0.3868213652
63	0.3862919096
64	0.3855925591
65	0.385094697
66	0.3846329613
67	0.3837040967
68	0.3833194593
69	0.3825755726
70	0.3816873999
71	0.3810790942
72	0.3806755435
73	0.380032068
74	0.3795566048
75	0.3792402461
76	0.3789607808
77	0.378428451
78	0.3780673171
79	0.3776837365
80	0.3774575885
81	0.3772462119
82	0.3769755162
83	0.3767277183
84	0.3764824273
85	0.3759157379
86	0.3755174488
87	0.3752073342
88	0.3746567586
89	0.3743221547
90	0.3738187889
91	0.3735844294
92	0.3733676259
93	0.3730519845
94	0.3727639485
95	0.3724770233
96	0.3722620798
97	0.3719094198
98	0.3716963181
99	0.3710751613
100	0.3707857846
101	0.3706140659
102	0.3703374932
103	0.3699029366
104	0.3693904025
105	0.3691577925
106	0.36878584
107	0.3685981522
108	0.3683409322
109	0.3682039477
110	0.3680522406
111	0.3678757593
112	0.3674975371
113	0.3672292376
114	0.3670458701
115	0.3667121967
116	0.3665726154
117	0.3664240165
118	0.3661322792
119	0.3660063379
120	0.365882555
121	0.3656008172
122	0.3654755546
123	0.3653357646
124	0.3652577978
125	0.3649997197
126	0.3647697048
127	0.3645843911
128	0.3644466478
129	0.3642547817
130	0.364047041
131	0.3638111931
132	0.3636803699
133	0.3633658368
134	0.3631671487
135	0.3629608879
136	0.3628743669
137	0.3626094535
138	0.3623110037
139	0.3621447321
140	0.3619504721
141	0.3618387874
142	0.3615778658
143	0.3614335619
144	0.3613684167
145	0.3612605603
146	0.3611485862
147	0.3610269763
148	0.3608777165
149	0.3604468424
150	0.3603135141
151	0.3601868895
152	0.3600914972
153	0.3599276713
154	0.3598298394
155	0.3595824035
156	0.3594409554
157	0.3593544167
158	0.3590473251
159	0.3586017065
160	0.3583004333
161	0.3580607698
162	0.3579587993
163	0.3578578486
164	0.3575355196
165	0.3571567484
166	0.3570690956
167	0.356920952
168	0.356790492
169	0.3565820506
170	0.3564145077
171	0.3560790543
172	0.355899103
173	0.3557977227
174	0.3557199816
175	0.3556306552
176	0.3553794021
177	0.3553124279
178	0.3550113898
179	0.354781946
180	0.354522669
181	0.354416348
182	0.3540346767
183	0.35382374
184	0.3535881606
185	0.3534701317
186	0.3531101812
187	0.3529033213
188	0.3525652396
189	0.3524891196
190	0.3522929721
191	0.3522243787
192	0.3521137049
193	0.3520509633
194	0.351727654
195	0.3515467688
196	0.3514686731
197	0.3513135637
198	0.3511662057
199	0.3509335019
200	0.3508876506
201	0.3507904469
202	0.350563841
203	0.3502886523
204	0.3502161023
205	0.3500726632
206	0.3499651851
207	0.3498836496
208	0.349827919
209	0.3497545642
210	0.3494827561
211	0.3493555115
212	0.3491091202
213	0.3490606112
214	0.3488623027
215	0.3487299745
216	0.3486284264
217	0.3485633366
218	0.348435049
219	0.3483857385
220	0.3483524597
221	0.3481234973
222	0.3478889293
223	0.3475829075
224	0.3475273575
225	0.3474426755
226	0.3473611593
227	0.3473077317
228	0.3472081491
229	0.3471474895
230	0.3469360239
231	0.3469061871
232	0.346782644
233	0.3465129368
234	0.3462897568
235	0.3461449506
236	0.3460986942
